name;age;flightNumber;seat;ticketclass;luggageWeight
Mia;51;MBI23;A4;Economy;15.9
Thomas;83;MBI23;A8;Economy;2.0
Julia;81;MBI23;A15;Economy;5.1
Joshua;38;MBI23;D15;Economy;30.0
Aurora;85;MBI23;D14;Economy;15.2
Liam;73;MBI23;E15;Economy;6.2
Mateo;3;MBI23;A12;Economy;2.6
Daniel;3;MBI23;D1;Economy;15.4
Mateo;31;MBI23;D8;Economy;31.3
Oliver;11;MBI23;B17;Economy;2.3
Benjamin;12;MBI23;A12;Economy;4.1
Benjamin;14;MBI23;B11;Economy;24.3
Sophia;12;MBI23;D12;Economy;9.2
Liam;20;MBI23;D19;Economy;27.7
William;83;MBI23;B24;Economy;24.1
Alexander;8;MBI23;D27;Economy;15.2
Joshua;63;MBI23;E31;Economy;3.2
David;40;MBI23;D10;Economy;2.1
Julia;55;MBI23;A26;Economy;26.8
Liam;51;MBI23;F26;Economy;11.2
Julia;70;MBI23;C5;Economy;23.5
Mateo;20;MBI23;D13;Economy;3.1
Joshua;45;MBI23;F10;Economy;14.2
Anna;23;MBI23;F29;Economy;3.6
Lucas;25;MBI23;A22;Economy;14.5
David;10;MBI23;F3;Economy;25.3
Daniel;32;MBI23;B4;Economy;30.7
Sophia;53;MBI23;D1;Economy;15.0
Benjamin;43;MBI23;D28;Economy;13.7
Thomas;69;MBI23;A6;Economy;16.2
William;42;MBI23;A29;Economy;19.1
Oliver;33;MBI23;F1;Economy;26.3
Benjamin;80;MBI23;C28;Economy;16.9
Aurora;25;MBI23;F23;Economy;19.9
Micheal;66;MBI23;A3;Economy;26.1
Alexander;40;MBI23;F28;Economy;27.2
Joshua;49;MBI23;E19;Economy;21.9
David;51;MBI23;A18;Economy;8.6
Daniel;51;MBI23;E18;Economy;6.8
Lucas;3;MBI23;C3;Economy;24.2
Alexander;51;MBI23;D25;Economy;25.1
William;19;MBI23;B19;Economy;11.4
Sarah;56;MBI23;F10;Economy;15.6
Mateo;85;MBI23;C10;Economy;31.5
David;32;MBI23;D24;Economy;16.7
Andrew;44;MBI23;D2;Economy;12.6
Liam;66;MBI23;E32;Economy;31.9
Benjamin;72;MBI23;E31;Economy;6.2
Sophia;75;MBI23;E10;Economy;19.9
Oliver;76;MBI23;C20;Economy;7.5
Sebastian;54;MBI23;C12;Economy;29.4
Thomas;84;MBI23;E6;Economy;13.9
David;74;MBI23;D22;Economy;18.4
Sophia;74;MBI23;C9;Economy;9.1
Sebastian;41;MBI23;C30;Economy;32.4
Julia;3;MBI23;C21;Economy;3.7
Micheal;36;MBI23;B21;Economy;27.9
Mia;16;MBI23;C5;Economy;31.7
Anna;65;MBI23;A20;Economy;29.2
Joshua;1;MBI23;D26;Economy;16.1
Andrew;38;MBI23;D18;Economy;24.1
Alexander;53;MBI23;C1;Economy;22.0
Mateo;23;MBI23;E10;Economy;2.6
William;12;MBI23;F21;Economy;16.6
Benjamin;24;MBI23;E4;Economy;17.2
Aurora;50;MBI23;D17;Economy;17.5
Julia;45;MBI23;E22;Economy;29.7
Oliver;59;MBI23;C2;Economy;14.9
Liam;70;MBI23;E9;Economy;4.5
Thomas;9;MBI23;F22;Economy;30.9
Sarah;8;MBI23;D17;Economy;20.7
Sebastian;17;MBI23;B7;Economy;26.0
David;35;MBI23;D22;Economy;7.5
Liam;69;MBI23;E10;Economy;5.1
Sarah;24;MBI23;D1;Economy;10.0
Anna;61;MBI23;E15;Economy;23.2
Benjamin;32;MBI23;E21;Economy;12.1
Mateo;57;MBI23;D17;Economy;15.9
Aurora;53;MBI23;C27;Economy;21.6
Daniel;68;MBI23;F9;Economy;8.4
Oliver;75;MBI23;E11;Economy;29.8
Daniel;16;MBI23;A11;Economy;31.4
Sarah;43;MBI23;A17;Economy;9.7
David;32;MBI23;A20;Economy;28.2
Mia;8;MBI23;A3;Economy;5.2
Benjamin;35;MBI23;A23;Economy;19.1
Thomas;71;MBI23;C11;Economy;16.0
Sebastian;72;MBI23;A10;Economy;21.2
William;39;MBI23;C4;Economy;20.2
